Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
"Senior Embedded Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c796a0b1&cb=1522973200085&jobListingId=2611259195,Part Time, Omron Electronics,Amherst, NH,92000,124000,"python,algorithm"
"Intern: Software Engineering, Voltage SecureData - Provo, UT",https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=182759&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_59f03702&cb=1522973344020&jobListingId=2710802159,Part Time, Micro Focus,Provo, UT,23000,35000,"java,rest"
"Operations Engineer, Associate",https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=4468&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_08913ef1&cb=1522973344022&jobListingId=2612732648,Part Time, DePaul University,Chicago, IL,48000,72000,"ios,aws"
"Software Engineer 2, eBay Assistant/Bot",https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4535bf94&cb=1522973344024&jobListingId=2722242618,Part Time, Worksource Oregon,Portland, OR,0,0,"java,javascript,rest"
Middleware Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=4465&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1e550d36&cb=1522973344025&jobListingId=2723022861,Part Time, Aetna,Hartford, CT,66000,89000,rest
Intel Math Kernel Library Software Development Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f9a991b3&cb=1522973344027&jobListingId=2721205684,Part Time, Worksource Oregon,Hillsboro, OR,0,0,"c++,algorithm"
Engineer Intern - Summer,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=52448&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22a21818&cb=1522973344029&jobListingId=2684947608,Part Time, Stantec System,Sacramento, CA,0,0,
Lanh and Oanh Nguyen Chair in Software Engineering,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=4120&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7b678c5&cb=1522973344035&jobListingId=2612068999,Part Time, Iowa State University,Ames, IA,0,0,"algorithm,rest"
"Senior Embedded Software Engineer, Mobile Robots",https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=4372&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9005413b&cb=1522973344036&jobListingId=2611441089,Part Time, OMRON,Amherst, NH,79000,106000,"python,algorithm"
Mechanical Engineer - Facilities Operations,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=333380&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3ab88e1d&cb=1522973344038&jobListingId=2724390121,Part Time, The Ohio State University Wexner Medical Center,Columbus, OH,47000,66000,
